q_category	name	caption	guide_url	guide_image1	guide_image_alt1	sort
表示ページ	国名	キャプション	ガイドページURL	ガイド画像	ガイド画像ALT	順番
ヨーロッパ	アイスランド	北大西洋の極北の海に浮かぶ	http://www.hankyu-travel.com/guide/iceland/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP17_-01049.jpg		15
ヨーロッパ	ロシア	華麗で栄華な国	http://www.hankyu-travel.com/guide/russia/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00140-webph-02553.jpg		16
ヨーロッパ	バルト三国	豊かな自然に囲まれた国々	http://www.hankyu-travel.com/guide/baltic/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00138-webph-00614.jpg		17
アフリカ	南アフリカ	世界トップクラスの観光資源	http://www.hankyu-travel.com/guide/africa/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00133-BP15-00018.jpg		1
アフリカ	エジプト	人類最古の文明の一つ	http://www.hankyu-travel.com/guide/egypt/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-07214.jpg		2
アフリカ	チュニジア	異国情緒たっぷりの国	http://www.hankyu-travel.com/guide/tunisia/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00147-webph-01707.jpg		3
アフリカ	モロッコ	日の没するところの王国	http://www.hankyu-travel.com/guide/morocco/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00147-webph-01710.jpg		4
北米	アメリカ	自由の女神が見守る国	http://www.hankyu-travel.com/guide/america/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00256-webbn-18753.jpg		1
北米	カナダ	ロッキーの大自然に身をゆだね	http://www.hankyu-travel.com/guide/canada/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP17_-00083.jpg		2
北米	ハワイ	何でも存分に楽しめる楽園の国	http://www.hankyu-travel.com/guide/hawaii/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-ALLUP-70441.jpg		3
オセアニア	オーストラリア	本物の大自然が残る大陸	http://www.hankyu-travel.com/guide/australia/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP15_-07057.jpg		1
オセアニア	ニュージーランド	大自然に触れられる魅力溢れる国	http://www.hankyu-travel.com/guide/newzealand/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-04249.jpg		2
南太平洋	南の島々	ブルーに透き通った楽園の島々	http://www.hankyu-travel.com/guide/s-pacific/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-07149.jpg		1
ミクロネシア	グアム	日本から近い楽園リゾート	http://www.hankyu-travel.com/guide/guam-saipan/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-ALLUP-63547.jpg		1
ミクロネシア	サイパン	白砂が美しい南の楽園リゾート	http://www.hankyu-travel.com/guide/guam-saipan/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-EBP07-06381.jpg		2
中南米	ペルー	謎の空中都市マチュピチュ	http://www.hankyu-travel.com/guide/peru/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP17_-00424.jpg		1
中南米	メキシコ	古代遺跡と世界有数のリゾート	http://www.hankyu-travel.com/guide/mexico/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00154-webbn-16654.jpg		2
中南米	ブラジル	カーニバルで有名な情熱的なサンバ国	http://www.hankyu-travel.com/guide/brazil/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00151-webbn-17215.jpg		3
中近東	トルコ	奇岩群や石灰岩の温泉が広がる国	http://www.hankyu-travel.com/guide/turkey/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP15_-03451.jpg		1
