dirname	naigai	page_type	right_box_type	homen	country	first_level	second_level	senmon_name_ja	senmon_name_en	URL	Dest	Country	City	page_code	page_color	page_caption	page_caption_sp	map_not_display	map_default_display	csv_photo	csv_recommend	csv_free_area	csv_special	csv_keyword	csv_tourist_information	csv_yobi2	csv_yobi3	key_jiyuzin_tour_data_kyoten	key_jiyuzin_tour_data_csv_path	key_jiyuzin_tour_data_article_title	key_bus_tour_data_kyoten	key_bus_tour_data_csv_path	key_bus_tour_data_article_title	bus_tour_url	tag_country_common_info	tag_related_links	genchi_blog_disp_num_pc	genchi_blog_disp_num_sp	dp_link	dp_link_sp	search_mokuteki_country	search_mokuteki_country_unlimited_flag	search_mokuteki_country_initial_selection	blogGenchi_url	heritage_url	blog_new_rss_url	best7_display_flag	genchi_blog_display_flag	country_common_info_display_flag	sightseeing_info_display_flag	guide_more_url	guide_path	first_level_name
/venezuela/canaima	i	DS	city	latin-america/	venezuela/	venezuela/	canaima/	カナイマ	Canaima	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=VE&p_city=CAJ	ESU	VE	CAJ	ESU-VE-CAJ				0																																			ベネズエラ
/venezuela/puertoaldas	i	DS	city	latin-america/	venezuela/	venezuela/	puertoaldas/	プエルトオルダス	Puerto Aldas	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=VE&p_city=PZO	ESU	VE	PZO	ESU-VE-PZO				0																																			ベネズエラ
/venezuela/santaelena	i	DS	city	latin-america/	venezuela/	venezuela/	santaelena/	サンタエレナ	Santa Elena	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=VE&p_city=SNV	ESU	VE	SNV	ESU-VE-SNV				0																																			ベネズエラ
/peru	i	A	country	latin-america/	peru/	peru/		ペルー	Peru	peru/	ESU	PE,BO		ESU-PE_BO	set04	ペルー旅行・ペルーツアーなら阪急交通社。世界遺産・謎の空中都市マチュピチュ、インカ帝国の首都だったクスコ、空からしか確認できないナスカの地上絵など、ペルーは見所いっぱいです。	ペルー旅行・ツアーなら阪急交通社。空中都市マチュピチュ、空からしか見れないナスカの地上絵などペルーは見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_latin-america_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_peru_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_peru_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_peru_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_peru_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/peru/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/peru/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/peru/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/peru/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/peru/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/peru/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/peru/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/peru/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>		5	5	http://www.hankyu-travel.com/dp/?area=SAM&country=PE	http://www.hankyu-travel.com/dpsp/?area=SAM&country=PE				/kaigai/latin-america/peru/index.xml	http://www.hankyu-travel.com/heritage/peru/	/rss/peru/index.xml	1	1	1	0		/guide/peru/	ペルー
/peru/lima	i	DS	city	latin-america/	peru/	peru/	lima/	リマ	Lima	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=LIM	ESU	PE	LIM	ESU-PE-LIM				0																																			ペルー
/peru/cuzco	i	DS	city	latin-america/	peru/	peru/	cuzco/	クスコ	Cusco	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=CUZ	ESU	PE	CUZ	ESU-PE-CUZ				0																																			ペルー
/peru/nazca	i	DS	city	latin-america/	peru/	peru/	nazca/	ナスカ	Nazca	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=NZA	ESU	PE	NZA	ESU-PE-NZA				0																																			ペルー
/peru/pisco	i	DS	city	latin-america/	peru/	peru/	pisco/	ピスコ	Pisco	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=PIO	ESU	PE	PIO	ESU-PE-PIO				0																																			ペルー
/peru/urubamba	i	DS	city	latin-america/	peru/	peru/	urubamba/	ウルバンバ	Urubamba	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=U02	ESU	PE	U02	ESU-PE-U02				0																																			ペルー
/peru/paracas	i	DS	city	latin-america/	peru/	peru/	paracas/	パラカス	Paracas	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=P01	ESU	PE	P01	ESU-PE-P01				0																																			ペルー
/peru/puno	i	DS	city	latin-america/	peru/	peru/	puno/	プーノ	Puno	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=904	ESU	PE	904	ESU-PE-904				0																																			ペルー
/peru/juliaca	i	DS	city	latin-america/	peru/	peru/	juliaca/	フリアカ	Juliaca	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=JUL	ESU	PE	JUL	ESU-PE-JUL				0																																			ペルー
/peru/squid	i	DS	city	latin-america/	peru/	peru/	squid/	イカ	Ica	http://www.hankyu-travel.com/tour/search_i.php?p_naigai=W&p_dest=ESU&p_country=PE&p_city=900	ESU	PE	900	ESU-PE-900				0																																			ペルー
/argentina	i	A	country	latin-america/	argentina/	argentina/		アルゼンチン	Argentina	argentina/	ESU	AR,CL,PY,UY		ESU-AR_CL_PY_UY	set05	アルゼンチン旅行・アルゼンチンツアーなら阪急交通社。アルゼンチンタンゴ発祥の地ブエノスアイレスや自然の驚異を体感できるパタゴニアやイグアスの滝など、アルゼンチンは見所いっぱいです。	アルゼンチン旅行・ツアーなら阪急交通社。ブエノスアイレスやパタゴニア、イグアスの滝などアルゼンチンは見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_latin-america_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_argentina_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_argentina_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_argentina_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_argentina_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv												5	5	http://www.hankyu-travel.com/dp/?area=SAM&country=AR	http://www.hankyu-travel.com/dpsp/?area=SAM&country=AR	アルゼンチン,チリ,パラグアイ,ウルグアイ				http://www.hankyu-travel.com/heritage/latinamerica/	/rss/argentina/index.xml	0	0	0	1			アルゼンチン
